Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-24,173.04,174.93,170.01,171.76,171.76,"84,532,400"
9-Apr-24,172.91,179.22,171.92,176.88,176.88,"103,232,700"
8-Apr-24,169.34,174.5,167.79,172.98,172.98,"104,423,300"
5-Apr-24,169.08,170.86,160.51,164.9,164.9,"141,250,700"
4-Apr-24,170.07,177.19,168.01,171.11,171.11,"123,162,000"
3-Apr-24,164.02,168.82,163.28,168.38,168.38,"82,950,100"
2-Apr-24,164.75,167.69,163.43,166.63,166.63,"116,650,600"
1-Apr-24,176.17,176.75,170.21,175.22,175.22,"81,562,100"
28-Mar-24,177.45,179.57,175.3,175.79,175.79,"77,654,800"
27-Mar-24,181.41,181.91,176,179.83,179.83,"81,804,000"
26-Mar-24,178.58,184.25,177.38,177.67,177.67,"113,186,200"
25-Mar-24,168.76,175.24,168.73,172.63,172.63,"74,228,600"
22-Mar-24,166.69,171.2,166.3,170.83,170.83,"75,454,700"
21-Mar-24,176.39,178.18,171.8,172.82,172.82,"73,178,000"
20-Mar-24,173,176.25,170.82,175.66,175.66,"83,846,700"
19-Mar-24,172.36,172.82,167.42,171.32,171.32,"77,271,400"
18-Mar-24,170.02,174.72,165.9,173.8,173.8,"108,214,400"
15-Mar-24,163.16,165.18,160.76,163.57,163.57,"96,971,900"
14-Mar-24,167.77,171.17,160.51,162.5,162.5,"126,325,700"
13-Mar-24,173.05,176.05,169.15,169.48,169.48,"106,524,500"
12-Mar-24,177.77,179.43,172.41,177.54,177.54,"87,391,700"
11-Mar-24,175.45,182.87,174.8,177.77,177.77,"85,391,500"
8-Mar-24,181.5,182.73,174.7,175.34,175.34,"85,315,300"
7-Mar-24,174.35,180.04,173.7,178.65,178.65,"102,129,000"
6-Mar-24,179.99,181.58,173.7,176.54,176.54,"107,920,900"
5-Mar-24,183.05,184.59,177.57,180.74,180.74,"119,660,800"
4-Mar-24,198.73,199.75,186.72,188.14,188.14,"134,334,900"
1-Mar-24,200.52,204.52,198.5,202.64,202.64,"82,099,200"
29-Feb-24,204.18,205.28,198.45,201.88,201.88,"85,907,000"
28-Feb-24,200.42,205.3,198.44,202.04,202.04,"99,806,200"
27-Feb-24,204.04,205.6,198.26,199.73,199.73,"108,645,400"
26-Feb-24,192.29,201.78,192,199.4,199.4,"111,747,100"
23-Feb-24,195.31,197.57,191.5,191.97,191.97,"78,841,900"
22-Feb-24,194,198.32,191.36,197.41,197.41,"92,739,500"
21-Feb-24,193.36,199.44,191.95,194.77,194.77,"103,844,000"
20-Feb-24,196.13,198.6,189.13,193.76,193.76,"104,545,800"
16-Feb-24,202.06,203.17,197.4,199.95,199.95,"111,173,600"
15-Feb-24,189.16,200.88,188.86,200.45,200.45,"120,831,800"
14-Feb-24,185.3,188.89,183.35,188.71,188.71,"81,203,000"
13-Feb-24,183.99,187.26,182.11,184.02,184.02,"86,759,500"
12-Feb-24,192.11,194.73,187.28,188.13,188.13,"95,498,600"
9-Feb-24,190.18,194.12,189.48,193.57,193.57,"84,476,300"
8-Feb-24,189,191.62,185.58,189.56,189.56,"83,034,000"
7-Feb-24,188.18,189.79,182.68,187.58,187.58,"111,535,200"
6-Feb-24,177.21,186.49,177.11,185.1,185.1,"122,676,000"
5-Feb-24,184.26,184.68,175.01,181.06,181.06,"134,294,400"
2-Feb-24,185.04,188.69,182,187.91,187.91,"110,505,100"
1-Feb-24,188.5,189.88,184.28,188.86,188.86,"91,843,300"
31-Jan-24,187,193.97,185.85,187.29,187.29,"103,221,400"
30-Jan-24,195.33,196.36,190.61,191.59,191.59,"109,982,300"
29-Jan-24,185.63,191.48,183.67,190.93,190.93,"125,013,100"
26-Jan-24,185.5,186.78,182.1,183.25,183.25,"107,343,200"
25-Jan-24,189.7,193,180.06,182.63,182.63,"198,076,800"
24-Jan-24,211.88,212.73,206.77,207.83,207.83,"123,369,900"
23-Jan-24,211.3,215.65,207.75,209.14,209.14,"106,605,900"
22-Jan-24,212.26,217.8,206.27,208.8,208.8,"117,952,500"
19-Jan-24,209.99,213.19,207.56,212.19,212.19,"102,095,800"
18-Jan-24,216.88,217.45,208.74,211.88,211.88,"108,595,400"
17-Jan-24,214.86,215.67,212.01,215.55,215.55,"103,164,400"
16-Jan-24,215.1,223.49,212.18,219.91,219.91,"115,355,000"
12-Jan-24,220.08,225.34,217.15,218.89,218.89,"122,889,000"
11-Jan-24,230.57,230.93,225.37,227.22,227.22,"105,873,600"
10-Jan-24,235.1,235.5,231.29,233.94,233.94,"91,628,500"
9-Jan-24,238.11,238.96,232.04,234.96,234.96,"96,705,700"
8-Jan-24,236.14,241.25,235.3,240.45,240.45,"85,166,600"
5-Jan-24,236.86,240.12,234.9,237.49,237.49,"92,379,400"
4-Jan-24,239.25,242.7,237.73,237.93,237.93,"102,629,300"
3-Jan-24,244.98,245.68,236.32,238.45,238.45,"121,082,600"
2-Jan-24,250.08,251.25,244.41,248.42,248.42,"104,654,200"
29-Dec-23,255.1,255.19,247.43,248.48,248.48,"100,615,300"
28-Dec-23,263.66,265.13,252.71,253.18,253.18,"113,619,900"
27-Dec-23,258.35,263.34,257.52,261.44,261.44,"106,494,400"
26-Dec-23,254.49,257.97,252.91,256.61,256.61,"86,892,400"
22-Dec-23,256.76,258.22,251.37,252.54,252.54,"93,249,800"
21-Dec-23,251.9,254.8,248.55,254.5,254.5,"109,594,200"
20-Dec-23,256.41,259.84,247,247.14,247.14,"125,097,000"
19-Dec-23,253.48,258.34,253.01,257.22,257.22,"106,737,400"
18-Dec-23,253.78,258.74,251.36,252.08,252.08,"116,416,500"
15-Dec-23,251.21,254.13,248.3,253.5,253.5,"135,720,800"
14-Dec-23,241.22,253.88,240.79,251.05,251.05,"160,829,200"
13-Dec-23,234.19,240.3,228.2,239.29,239.29,"146,286,300"
12-Dec-23,238.55,238.99,233.87,237.01,237.01,"95,328,300"
11-Dec-23,242.74,243.44,237.45,239.74,239.74,"97,913,900"
8-Dec-23,240.27,245.27,239.27,243.84,243.84,"102,980,100"
7-Dec-23,241.55,244.08,236.98,242.64,242.64,"107,142,300"
6-Dec-23,242.92,246.57,239.17,239.37,239.37,"126,436,200"
5-Dec-23,233.87,246.66,233.7,238.72,238.72,"137,971,100"
4-Dec-23,235.75,239.37,233.29,235.58,235.58,"104,099,800"
